Word;POS;Polarity;#+;#-;#0;#iteration
good;unk;+;1;0;0;0;
commonsense;unk;+;1;0;0;1;
commonsensible;unk;+;1;0;0;1;
commonsensical;unk;+;1;0;0;1;
firm;unk;+;1;0;0;1;
hard;unk;+;1;0;0;1;
informed;unk;+;1;0;0;1;
just;unk;+;1;0;0;1;
justified;unk;+;1;0;0;1;
levelheaded;unk;+;1;0;0;1;
logical;unk;+;1;0;0;1;
rational;unk;+;2;0;0;1;
reasonable;unk;+;2;0;0;1;
reasoned;unk;+;1;0;0;1;
sensible;unk;+;2;0;0;1;
sober;unk;+;1;0;0;1;
solid;unk;+;1;0;0;1;
valid;unk;+;5;0;0;1;
well-founded;unk;+;3;0;0;1;
groundless;unk;-;0;1;0;1;
illogical;unk;-;0;3;0;1;
invalid;unk;-;0;3;0;1;
irrational;unk;-;0;3;0;1;
nonrational;unk;-;0;1;0;1;
nonsensical;unk;-;0;1;0;1;
nonvalid;unk;-;0;1;0;1;
unfounded;unk;-;0;1;0;1;
uninformed;unk;-;0;1;0;1;
unjustified;unk;-;0;1;0;1;
unreasonable;unk;-;0;3;0;1;
unreasoned;unk;-;0;1;0;1;
unsound;unk;-;0;3;0;1;
bad;unk;-;0;2;0;0;
bastard;unk;-;0;1;0;1;
bush;unk;-;0;1;0;1;
bush-league;unk;-;0;1;0;1;
crummy;unk;-;0;1;0;1;
crumby;unk;-;0;1;0;1;
dissatisfactory;unk;-;0;1;0;1;
ill;unk;-;0;1;0;1;
inferior;unk;-;0;1;0;1;
lame;unk;-;0;1;0;1;
lousy;unk;-;0;1;0;1;
poor;unk;-;0;1;0;1;
punk;unk;-;0;1;0;1;
suboptimal;unk;-;0;1;0;1;
subpar;unk;-;0;1;0;1;
substandard;unk;-;0;1;0;1;
unacceptable;unk;-;0;2;0;1;
unsatisfactory;unk;-;0;2;0;1;
wack;unk;-;0;1;0;1;
wanting;unk;-;0;2;0;1;
wretched;unk;-;0;1;0;1;
wrong;unk;-;0;1;0;1;
acceptable;unk;+;2;0;0;1;
adequate;unk;+;2;0;0;1;
all_right;unk;+;2;0;0;1;
decent;unk;+;2;0;0;1;
fine;unk;+;2;0;0;1;
passable;unk;+;2;0;0;1;
respectable;unk;+;2;0;0;1;
satisfactory;unk;+;2;0;0;1;
standard;unk;+;1;0;0;1;
tolerable;unk;+;2;0;0;1;
common;unk;0;0;0;1;0;
commonplace;unk;0;0;0;1;1;
everyday;unk;0;0;0;1;1;
familiar;unk;0;0;0;1;1;
frequent;unk;0;0;0;1;1;
garden-variety;unk;0;0;0;1;1;
household;unk;0;0;0;1;1;
ordinary;unk;0;0;0;1;1;
quotidian;unk;0;0;0;8;1;
routine;unk;0;0;0;2;1;
ubiquitous;unk;0;0;0;2;1;
usual;unk;0;0;0;2;1;
extraordinary;unk;0;0;0;1;1;
infrequent;unk;0;0;0;1;1;
uncommon;unk;0;0;0;1;1;
unusual;unk;0;0;0;1;1;
coherent;unk;+;2;0;0;2;
consequent;unk;+;2;0;0;2;
sound;unk;+;2;0;0;2;
well-grounded;unk;+;2;0;0;2;
illegitimate;unk;-;0;2;0;2;
incoherent;unk;-;0;2;0;2;
inconsequent;unk;-;0;2;0;2;
inconsequential;unk;-;0;2;0;2;
weak;unk;-;0;2;0;2;
fairish;unk;+;1;0;0;2;
serviceable;unk;+;1;0;0;2;
deficient;unk;-;0;1;0;2;
inadequate;unk;-;0;1;0;2;
insufficient;unk;-;0;1;0;2;
lacking;unk;-;0;1;0;2;
