Word;POS;Polarity;#+;#-;#0;#iteration
peralvilho;nom;+;1;0;0;4;
catita;nom,adj;+;1;0;0;3;
casamento;nom;+;4;2;0;4;
aliança;nom;+;4;0;0;3;
meigo;adj;+;6;0;0;3;
malgável;adj;+;2;0;0;3;
rataria;nom;+;1;0;0;4;
ratice;nom;+;1;0;0;3;
crescimento;nom;0;0;0;1;1;
desenvolvimento;nom;0;0;0;1;0;
auxílio;nom;+;2;1;0;3;
contributo;nom;+;2;0;0;4;
adulação;nom;+;4;1;0;4;
abajoujamento;nom;A;1;1;0;4;
logro;nom;-;0;1;0;0;
empandeiramento;nom;-;0;1;0;1;
cruel;adj,nom;-;1;6;0;2;
funesto;adj;-;0;1;0;1;
agigantado;adj;A;1;0;1;3;
atlante;adj,nom;0;0;0;1;3;
reanimar;vrb;+;4;0;0;3;
refazer;vrb;+;5;0;1;3;
incorpóreo;adj;+;2;0;0;4;
espiritual;adj;+;2;0;0;3;
tremura;nom;-;0;2;0;3;
tiritação;nom;-;0;1;0;4;
tunda;nom;-;0;5;0;4;
muxinga;nom;-;0;2;0;4;
afligir-se;vrb;-;2;4;0;3;
inquietar;vrb;A;2;1;2;3;
princípio;nom;+;7;0;0;3;
infância;nom;+;2;0;0;4;
esticar;vrb;+;5;0;0;3;
repuxar;vrb;+;1;0;0;4;
fantasia;nom;+;3;2;0;3;
romance;nom;+;3;1;0;4;
inferior;adj;-;0;1;0;3;
ínfero;adj,nom;-;0;2;0;4;
arranjo;nom;+;2;1;0;1;
acondicionamento;nom;+;2;0;0;2;
oferta;nom;+;2;0;0;4;
ofertório;nom;+;2;0;0;4;
tributar;vrb;0;0;0;3;2;
colectar;vrb;0;0;0;1;3;
vingar;vrb;+;4;1;0;3;
desafrontar;vrb;+;3;1;0;4;
bostela;nom;-;0;1;0;4;
posteja;nom;-;0;1;0;5;
afastar-se;vrb;+;3;0;0;3;
distanciar;vrb;+;4;0;0;4;
velharia;nom;-;0;1;0;3;
velhada;nom;-;0;1;0;4;
imparcialidade;nom;+;2;0;0;4;
equidade;nom;+;4;0;0;4;
excipiente;nom;+;1;0;0;5;
base;nom;+;6;0;0;4;
sufocação;nom;-;1;2;0;4;
estrangulação;nom;-;0;2;0;4;
aclimatar-se;vrb;0;0;0;1;5;
costumar;vrb;0;0;0;1;4;
pique;nom;A;2;2;0;3;
pica;nom;A;1;1;0;3;
tremedal;nom;-;0;4;0;4;
lamaçal;nom;-;0;3;0;4;
dificuldade;nom;-;0;1;0;2;
quê;nom;-;0;2;0;3;
apoiado;adj,nom;+;3;0;0;4;
atido;adj;+;2;1;0;5;
menor;adj;-;0;2;0;4;
periférico;adj;-;0;1;0;4;
espantado;adj;-;0;4;1;4;
surpreendido;adj;A;1;1;0;4;
oleoso;adj;+;2;0;0;4;
unguinoso;adj;+;2;0;0;4;
criador;nom,adj;+;4;0;0;4;
criativo;nom,adj;+;3;0;0;4;
antes;adv;+;2;1;0;4;
atrás;adv;+;2;0;0;5;
pontualidade;nom;-;0;3;0;2;
severidade;nom;-;0;2;0;1;
caudalosamente;adv;-;0;1;0;6;
torrencialmente;adv;-;0;1;0;5;
agudeza;nom;+;1;0;0;1;
habilidade;nom;+;1;0;0;0;
atravancar;vrb;+;3;0;0;3;
embarrancar;vrb;+;4;0;0;4;
remover;vrb;0;4;0;5;3;
demover;vrb;+;1;0;0;3;
tom;nom;A;1;1;0;2;
secar;vrb;+;4;0;1;3;
cicatrizar;vrb;+;3;0;0;3;
admitir;vrb;+;5;0;0;2;
sofrer;vrb;+;3;0;0;2;
chiste;nom;+;1;0;0;2;
largada;nom;A;1;0;1;2;
chupeta;nom;0;0;0;1;0;
pepa;nom;0;0;0;1;1;
merenda;nom;+;1;0;0;5;
merendeiro;nom;+;1;0;0;6;
esvaziar;vrb;0;2;1;3;3;
achicar;vrb;A;1;0;1;4;
produzir;vrb;0;1;0;3;1;
chover;vrb;0;0;0;1;0;
marijuana;nom;-;0;1;0;5;
suruma;nom;-;0;1;0;6;
defecar;vrb;0;0;0;1;1;
borrar;vrb;0;0;0;1;2;
forte;adj,nom;+;5;1;0;2;
encorpado;adj;A;1;0;1;2;
egoísmo;nom;-;0;2;0;5;
exclusivismo;nom;-;0;1;0;4;
sensualidade;nom;+;3;0;0;4;
lascívia;nom;+;3;1;0;5;
íntimo;adj,nom;+;6;0;0;3;
fraterno;adj;+;2;0;0;4;
tira;nom;+;7;1;0;4;
fita;nom;-;0;1;0;3;
mencionado;adj;-;1;2;0;3;
constante;adj;+;5;0;0;3;
compungido;adj;-;0;2;0;3;
apunhalado;adj;A;1;1;0;4;
montão;nom;+;3;0;0;5;
